META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=20_split-20-500-1500-, 3.0158, 0.133 ± 0.023, 0.448
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=2_split-300-4000-10555-, 1.9943, 0.308 ± 0.126, 0.065
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=2_split-300-4000-10556-, 2.0458, 0.310 ± 0.130, 0.064
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=2_split-20-500-10556-, 3.0309, 0.113 ± 0.048, 0.100
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=2_split-200-1000-10556-, 2.5020, 0.235 ± 0.116, 0.064
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=2_split-200-1000-10556-, 2.7287, 0.181 ± 0.095, 0.064
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=2_split-100-2000-10556-, 2.7628, 0.174 ± 0.089, 0.062
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=20_split-100-2000-10556-, 2.4448, 0.268 ± 0.048, 0.438
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=20_split-200-3000-10556-, 2.4341, 0.274 ± 0.073, 0.486
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=250_split-200-3000-10556-, 3.4191, 0.212 ± 0.029, 4.149
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=250_split-100-2000-10556-, 3.7525, 0.120 ± 0.019, 4.228
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=20_split-200-4000-10556-, 2.2909, 0.298 ± 0.075, 0.485
